Id;CodePostal;Commune;Departement;Longitude;Latitude;ID Geofla
13020;13950;CADOLIVE;BOUCHES-DU-RHONE;43.3941966153; 5.53223354589;35080
6149;6340;LA TRINITE;ALPES-MARITIMES;43.7433480978; 7.33946073911;6806
5117;5150;RIBEYRET;HAUTES-ALPES;44.4107304576; 5.55802862069;28145
4069;4120;DEMANDOLX;ALPES-DE-HAUTE-PROVENCE;43.8698630954; 6.57440592456;29331
4214;4330;TARTONNE;ALPES-DE-HAUTE-PROVENCE;44.0784663763; 6.3839310068;165
4039;4120;CASTELLANE;ALPES-DE-HAUTE-PROVENCE;43.8449862174; 6.49029842016;1765
5099;5400;OZE;HAUTES-ALPES;44.5058294764; 5.79875486134;35882
84141;84270;VEDENE;VAUCLUSE;43.9708612885; 4.90327834789;25765
83154;83510;SAINT-ANTONIN-DU-VAR;VAR;43.5112335006; 6.29002187703;181
6061;6510;LES FERRES;ALPES-MARITIMES;43.8424232733; 7.09342755196;14720
5021;5700;LE BERSAC;HAUTES-ALPES;44.4056964766; 5.75340964069;16998
6031;6340;CANTARON;ALPES-MARITIMES;43.7712030999; 7.31316892728;24898
4240;4370;VILLARS-COLMARS;ALPES-DE-HAUTE-PROVENCE;44.198291615; 6.56876674305;1549
83077;83136;MEOUNES-LES-MONTRIEUX;VAR;43.273942519; 5.96671080974;3194
6146;6420;TOURNEFORT;ALPES-MARITIMES;43.9413988757; 7.15850315093;5051
4210;4120;SOLEILHAS;ALPES-DE-HAUTE-PROVENCE;43.8599760555; 6.64860753226;7435
13016;13720;LA BOUILLADISSE;BOUCHES-DU-RHONE;43.397192269; 5.61980749093;24065
5151;5120;SAINT-MARTIN-DE-QUEYRIERES;HAUTES-ALPES;44.8375257288; 6.58255010654;5983
5156;5200;SAINT-SAUVEUR;HAUTES-ALPES;44.5365820455; 6.52920301665;13437
84084;84240;LA MOTTE-D'AIGUES;VAUCLUSE;43.7840840338; 5.52149188026;3367
84069;84340;MALAUCENE;VAUCLUSE;44.1884482159; 5.14985080872;12463
83056;83830;FIGANIERES;VAR;43.5672152549; 6.49870478854;9287
13081;13340;ROGNAC;BOUCHES-DU-RHONE;43.4971347324; 5.23106220021;15606
83019;83230;BORMES-LES-MIMOSAS;VAR;43.1622722101; 6.34956987347;11006
4108;4350;MALIJAI;ALPES-DE-HAUTE-PROVENCE;44.0336660524; 6.0504243737;32683
13207;13007;MARSEILLE--7E--ARRONDISSEMENT;BOUCHES-DU-RHONE;43.28251778; 5.36323440435;36595
5023;5100;BRIANCON;HAUTES-ALPES;44.8994986041; 6.64947524018;5104
4007;4170;ANGLES;ALPES-DE-HAUTE-PROVENCE;43.9443293069; 6.55232063474;33842
6154;6750;VALDEROURE;ALPES-MARITIMES;43.7942044466; 6.71003568639;13915
13213;13013;MARSEILLE-13E--ARRONDISSEMENT;BOUCHES-DU-RHONE;43.3492780005; 5.43372238738;36601
4122;4510;MIRABEAU;ALPES-DE-HAUTE-PROVENCE;44.0562295958; 6.08015931568;35394
6134;6750;SERANON;ALPES-MARITIMES;43.7656662777; 6.6904329696;8733
5073;5300;LAZER;HAUTES-ALPES;44.3517300661; 5.84995060396;4091
4034;4700;LA BRILLANNE;ALPES-DE-HAUTE-PROVENCE;43.9319005392; 5.88421838797;32684
5047;5300;EOURRES;HAUTES-ALPES;44.2138373403; 5.72894553965;6865
6081;6910;LE MAS;ALPES-MARITIMES;43.8369129507; 6.85894074749;8294
83058;83780;FLAYOSC;VAR;43.542212098; 6.36275720984;3513
4063;4220;CORBIERES;ALPES-DE-HAUTE-PROVENCE;43.7606909826; 5.74590452535;18259
6077;6440;LUCERAM;ALPES-MARITIMES;43.9005726905; 7.35265575307;7794
5029;5260;CHABOTTES;HAUTES-ALPES;44.6475783169; 6.16791978587;7828
84088;84210;PERNES-LES-FONTAINES;VAUCLUSE;43.9960550539; 5.03959100234;12754
13067;13660;ORGON;BOUCHES-DU-RHONE;43.779613013; 5.02340520998;28716
84014;84120;BEAUMONT-DE-PERTUIS;VAUCLUSE;43.7379108971; 5.69599127224;7200
5007;5350;ARVIEUX;HAUTES-ALPES;44.7638980345; 6.72230859416;4766
83001;83600;LES ADRETS-DE-L'ESTEREL;VAR;43.5356229284; 6.8110879666;12257
6026;6530;CABRIS;ALPES-MARITIMES;43.6599560638; 6.87825509814;13707
6044;6480;LA COLLE-SUR-LOUP;ALPES-MARITIMES;43.6871701387; 7.09773643833;28999
13045;13690;GRAVESON;BOUCHES-DU-RHONE;43.8539111696; 4.76717369182;2543
4141;4230;ONGLES;ALPES-DE-HAUTE-PROVENCE;44.0314259831; 5.72480881412;29978
13031;13112;LA DESTROUSSE;BOUCHES-DU-RHONE;43.3764232809; 5.59885932444;13599
13007;13390;AURIOL;BOUCHES-DU-RHONE;43.3607946934; 5.6583901873;13748
4097;4420;LA JAVIE;ALPES-DE-HAUTE-PROVENCE;44.1971990157; 6.32157607452;4103
4203;4140;SELONNET;ALPES-DE-HAUTE-PROVENCE;44.3717210833; 6.29379329975;10031
84018;84570;BLAUVAC;VAUCLUSE;44.0369893716; 5.24329379673;8013
84085;84220;MURS;VAUCLUSE;43.9647645787; 5.24369462064;2449
5110;5290;PUY-SAINT-VINCENT;HAUTES-ALPES;44.8144250588; 6.4647473741;24499
84074;84360;MERINDOL;VAUCLUSE;43.7619243813; 5.20153482914;24884
4135;4360;MOUSTIERS-SAINTE-MARIE;ALPES-DE-HAUTE-PROVENCE;43.8383278559; 6.22818909628;715
5049;5110;ESPARRON;HAUTES-ALPES;44.4627395922; 5.89302848154;10902
6029;06400/06150;CANNES;ALPES-MARITIMES;43.5526202843; 7.00427592728;4028
5124;5000;LA ROCHETTE;HAUTES-ALPES;44.5932114107; 6.14883098142;36563
4058;5110;CLARET;ALPES-DE-HAUTE-PROVENCE;44.3738118271; 5.96467673226;11320
5170;5130;TALLARD;HAUTES-ALPES;44.459122073; 6.04485602868;12978
6088;06000/06100/06200/06300;NICE;ALPES-MARITIMES;43.7119992661; 7.23826889465;14249
84058;84480;LACOSTE;VAUCLUSE;43.8257421042; 5.26592271907;25862
6008;6260;AUVARE;ALPES-MARITIMES;44.0074205826; 6.91467896828;28875
13105;13560;SENAS;BOUCHES-DU-RHONE;43.7446066018; 5.08687884411;31523
83120;83640;SAINT-ZACHARIE;VAR;43.3775300587; 5.71820851044;19344
84051;84220;GOULT;VAUCLUSE;43.8672520591; 5.24782759369;4765
6108;6550;LA ROQUETTE-SUR-SIAGNE;ALPES-MARITIMES;43.5849092456; 6.95049794824;11452
4019;4400;BARCELONNETTE;ALPES-DE-HAUTE-PROVENCE;44.3785614205; 6.65215089713;31647
5080;5140;MONTBRAND;HAUTES-ALPES;44.5915829146; 5.66765951559;12701
83033;83660;CARNOULES;VAR;43.2945985061; 6.19667974945;7721
5160;5300;SALERANS;HAUTES-ALPES;44.2421298245; 5.70096058268;31560
5136;5600;SAINT-CREPIN;HAUTES-ALPES;44.7243260485; 6.63555027257;12478
4224;4240;UBRAYE;ALPES-DE-HAUTE-PROVENCE;43.9070446741; 6.68718463205;2539
4209;4200;SISTERON;ALPES-DE-HAUTE-PROVENCE;44.2001925067; 5.93083716039;2503
13117;13127;VITROLLES;BOUCHES-DU-RHONE;43.4497831674; 5.26357787665;11660
6045;6910;COLLONGUES;ALPES-MARITIMES;43.8935981177; 6.86383142444;10050
5176;5130;VALSERRES;HAUTES-ALPES;44.4892842965; 6.13789393583;33776
13026;13220;CHATEAUNEUF-LES-MARTIGUES;BOUCHES-DU-RHONE;43.3865906403; 5.14753822568;9534
84066;84220;LIOUX;VAUCLUSE;43.9793335094; 5.30939885306;2605
83044;83840;COMPS-SUR-ARTUBY;VAR;43.7035520107; 6.50293185659;6191
13100;13210;SAINT-REMY-DE-PROVENCE;BOUCHES-DU-RHONE;43.7834249015; 4.85366665286;7311
83060;83670;FOX-AMPHOUX;VAR;43.5955417496; 6.10909327573;2894
83006;83560;ARTIGUES;VAR;43.576501883; 5.80239993371;14124
5093;5100;NEVACHE;HAUTES-ALPES;45.0441286352; 6.59862935541;13026
83131;83210;SOLLIES-TOUCAS;VAR;43.21282693; 5.98693908648;1580
5102;5700;LA PIARRE;HAUTES-ALPES;44.4784087163; 5.64803205429;36167
5177;5560;VARS;HAUTES-ALPES;44.5925220925; 6.71351456892;11026
6159;6230;VILLEFRANCHE-SUR-MER;ALPES-MARITIMES;43.7122153121; 7.32225410533;17948
5163;5160;LE SAUZE-DU-LAC;HAUTES-ALPES;44.485574244; 6.32317639258;32248
13074;13860;PEYROLLES-EN-PROVENCE;BOUCHES-DU-RHONE;43.6284676935; 5.57695734831;5984
6125;6470;SAINT-MARTIN-D'ENTRAUNES;ALPES-MARITIMES;44.1494414084; 6.74588335024;1711
13083;13870;ROGNONAS;BOUCHES-DU-RHONE;43.9000833173; 4.79857977479;27816
4065;4230;CRUIS;ALPES-DE-HAUTE-PROVENCE;44.0831626991; 5.83846949092;3141
83100;83390;PUGET-VILLE;VAR;43.2763475939; 6.14893054109;12407
5040;5230;CHORGES;HAUTES-ALPES;44.5455124295; 6.28782392595;6805
5179;5400;VEYNES;HAUTES-ALPES;44.5571529708; 5.82286002514;7443
13022;13260;CASSIS;BOUCHES-DU-RHONE;43.2230470065; 5.55117810991;28876
4157;4410;PUIMOISSON;ALPES-DE-HAUTE-PROVENCE;43.8708152829; 6.12200213815;912
4144;4120;LA PALUD-SUR-VERDON;ALPES-DE-HAUTE-PROVENCE;43.796648297; 6.32708874551;10718
5055;5140;LA FAURIE;HAUTES-ALPES;44.5674587303; 5.74040594768;31948
6107;6910;ROQUESTERON-GRASSE;ALPES-MARITIMES;43.8491534174; 6.99011980424;12851
84089;84120;PERTUIS;VAUCLUSE;43.6872357464; 5.52052480281;8513
83101;83350;RAMATUELLE;VAR;43.2186126186; 6.63754734174;16162
83037;83170;LA CELLE;VAR;43.384370351; 5.99861411611;1579
84079;84390;MONIEUX;VAUCLUSE;44.0568668171; 5.34149223081;4147
5001;5460;ABRIES;HAUTES-ALPES;44.8163462455; 6.94164442809;3264
4088;4300;FORCALQUIER;ALPES-DE-HAUTE-PROVENCE;43.9599082374; 5.7882827572;12168
4045;4280;CERESTE;ALPES-DE-HAUTE-PROVENCE;43.8503161664; 5.58976926214;82
4202;4320;SAUSSES;ALPES-DE-HAUTE-PROVENCE;44.0122711291; 6.77936939324;5734
5010;5140;ASPRES-SUR-BUECH;HAUTES-ALPES;44.5617512104; 5.77203298744;10924
5086;5150;MONTJAY;HAUTES-ALPES;44.3664380919; 5.61455270536;13972
6119;6660;SAINT-DALMAS-LE-SELVAGE;ALPES-MARITIMES;44.2894656829; 6.84084539624;11044
6037;6460;CAUSSOLS;ALPES-MARITIMES;43.7373447398; 6.90247233198;23029
6054;6340;DRAP;ALPES-MARITIMES;43.7582432488; 7.33724090222;21070
4057;4250;CLAMENSANE;ALPES-DE-HAUTE-PROVENCE;44.3282663642; 6.07850180008;7517
4233;4200;VAUMEILH;ALPES-DE-HAUTE-PROVENCE;44.2903076957; 5.95653121817;11303
84036;84470;CHATEAUNEUF-DE-GADAGNE;VAUCLUSE;43.9276331683; 4.94259114535;31927
84086;84580;OPPEDE;VAUCLUSE;43.8313175338; 5.16982150363;17099
4180;4330;SAINT-JACQUES;ALPES-DE-HAUTE-PROVENCE;43.976917929; 6.37128517143;26185
84099;84440;ROBION;VAUCLUSE;43.8519678718; 5.11008684319;22307
13098;13920;SAINT-MITRE-LES-REMPARTS;BOUCHES-DU-RHONE;43.4554029916; 5.01494725455;3366
5144;5800;SAINT-JACQUES-EN-VALGODEMARD;HAUTES-ALPES;44.7740637825; 6.06964600691;25643
13033;13820;ENSUES-LA-REDONNE;BOUCHES-DU-RHONE;43.3536539601; 5.19960307575;5624
4222;4250;TURRIERS;ALPES-DE-HAUTE-PROVENCE;44.3915882101; 6.15918221528;8354
6158;6710;VILLARS-SUR-VAR;ALPES-MARITIMES;43.9518663257; 7.08024521071;2643
4176;4500;SAINTE-CROIX-DU-VERDON;ALPES-DE-HAUTE-PROVENCE;43.7642821493; 6.15158882357;21371
13112;13880;VELAUX;BOUCHES-DU-RHONE;43.5239854581; 5.24996424883;7363
5116;5600;REOTIER;HAUTES-ALPES;44.6813566833; 6.56457884975;18169
83130;83210;SOLLIES-PONT;VAR;43.1907611248; 6.06327697157;12331
4092;4120;LA GARDE;ALPES-DE-HAUTE-PROVENCE;43.8298617013; 6.57154524239;26918
6063;6850;GARS;ALPES-MARITIMES;43.8605226685; 6.81676294521;26422
5145;5260;SAINT-JEAN-SAINT-NICOLAS;HAUTES-ALPES;44.6744954225; 6.23085847467;9054
6030;6110;LE CANNET;ALPES-MARITIMES;43.5729768613; 7.00642057758;16402
13118;13111;COUDOUX;BOUCHES-DU-RHONE;43.5600515363; 5.25422160677;22321
6117;6670;SAINT-BLAISE;ALPES-MARITIMES;43.8129337899; 7.23022336252;34818
4142;4110;OPPEDETTE;ALPES-DE-HAUTE-PROVENCE;43.9306604764; 5.59274330363;15573
5164;5160;SAVINES-LE-LAC;HAUTES-ALPES;44.5273256992; 6.39368059257;15604
4040;4380;LE CASTELLARD-MELAN;ALPES-DE-HAUTE-PROVENCE;44.2016431995; 6.13159521325;1697
6093;6260;LA PENNE;ALPES-MARITIMES;43.9246861706; 6.94222404957;8872
13056;13500;MARTIGUES;BOUCHES-DU-RHONE;43.3798920489; 5.04945402314;21197
4017;4140;AUZET;ALPES-DE-HAUTE-PROVENCE;44.3054001563; 6.31115592449;3363
83096;83470;POURCIEUX;VAR;43.4646440633; 5.78860890398;15075
13060;13590;MEYREUIL;BOUCHES-DU-RHONE;43.4910522546; 5.50062811927;170
83069;83400;HYERES;VAR;43.1018713534; 6.18898508469;9388
84080;84170;MONTEUX;VAUCLUSE;44.0335256003; 4.9847476645;36515
83047;83260;LA CRAU;VAR;43.1635207421; 6.09268351583;25430
6084;6370;MOUANS-SARTOUX;ALPES-MARITIMES;43.6185304023; 6.96494426706;21055
83025;83119;BRUE-AURIAC;VAR;43.5279511721; 5.93664541294;6795
13042;13420;GEMENOS;BOUCHES-DU-RHONE;43.2981044185; 5.64391464048;26480
83028;83830;CALLAS;VAR;43.5655288351; 6.57328931995;11121
4004;4500;ALLEMAGNE-EN-PROVENCE;ALPES-DE-HAUTE-PROVENCE;43.7887902464; 6.03091832001;14197
13106;13240;SEPTEMES-LES-VALLONS;BOUCHES-DU-RHONE;43.3934944571; 5.3808040555;352
84038;84460;CHEVAL-BLANC;VAUCLUSE;43.7886782282; 5.12410732071;23329
83018;83890;BESSE-SUR-ISSOLE;VAR;43.3399479171; 6.17774949705;12330
5078;5110;MONETIER-ALLEMONT;HAUTES-ALPES;44.3930962547; 5.93397190265;35023
6057;6440;L'ESCARENE;ALPES-MARITIMES;43.8339717674; 7.36565804143;10918
6090;6580;PEGOMAS;ALPES-MARITIMES;43.5865553156; 6.92224837943;29374
5146;5140;SAINT-JULIEN-EN-BEAUCHENE;HAUTES-ALPES;44.6264570637; 5.71979975938;29248
84065;84360;LAURIS;VAUCLUSE;43.7630365491; 5.30333693211;18258
13069;13330;PELISSANNE;BOUCHES-DU-RHONE;43.6308385635; 5.15957327275;11480
5024;5150;BRUIS;HAUTES-ALPES;44.4677366709; 5.50388863719;1854
13091;13760;SAINT-CANNAT;BOUCHES-DU-RHONE;43.6136286667; 5.30698257258;27923
84112;84750;SAINT-MARTIN-DE-CASTILLON;VAUCLUSE;43.8551072159; 5.51919312356;1574
4190;4300;SAINT-MARTIN-LES-EAUX;ALPES-DE-HAUTE-PROVENCE;43.8719702944; 5.74137178032;7871
84001;84210;ALTHEN-DES-PALUDS;VAUCLUSE;44.0048087082; 4.95793804186;1039
5095;5500;LE NOYER;HAUTES-ALPES;44.6999993894; 6.00102694215;854
6019;6440;BLAUSASC;ALPES-MARITIMES;43.7934680936; 7.36033477624;7195
83085;83920;LA MOTTE;VAR;43.5078511168; 6.55055399937;12770
84146;84110;VILLEDIEU;VAUCLUSE;44.2885345568; 5.04784441518;19761
5100;5000;PELLEAUTIER;HAUTES-ALPES;44.5102662977; 5.99877739937;34337
4154;5160;PONTIS;ALPES-DE-HAUTE-PROVENCE;44.4956918963; 6.36523776593;8464
13061;13150;SAINT-PIERRE-DE-MEZOARGUES;BOUCHES-DU-RHONE;43.8612350805; 4.65739524122;13757
84009;84240;LA BASTIDE-DES-JOURDANS;VAUCLUSE;43.7945397599; 5.64677782095;7582
84090;84240;PEYPIN-D'AIGUES;VAUCLUSE;43.7964408305; 5.56003326924;7996
13051;13680;LANCON-PROVENCE;BOUCHES-DU-RHONE;43.5760406168; 5.15953601477;168
13002;13190;ALLAUCH;BOUCHES-DU-RHONE;43.3533145712; 5.51134767187;29381
4099;4170;LAMBRUISSE;ALPES-DE-HAUTE-PROVENCE;44.0448344934; 6.44538846702;22532
84033;84400;CASTELLET;VAUCLUSE;43.834452269; 5.48116657241;34061
6047;6510;CONSEGUDES;ALPES-MARITIMES;43.8406957218; 7.04503670887;31536
4068;4300;DAUPHIN;ALPES-DE-HAUTE-PROVENCE;43.8932434369; 5.776452248;24768
5054;5500;LA FARE-EN-CHAMPSAUR;HAUTES-ALPES;44.6653766254; 6.05826038858;22084
4130;4230;MONTLAUX;ALPES-DE-HAUTE-PROVENCE;44.0407923753; 5.85016627036;2414
5114;5160;REALLON;HAUTES-ALPES;44.6107753971; 6.36046039369;5594
4237;4140;LE VERNET;ALPES-DE-HAUTE-PROVENCE;44.2766068334; 6.40297525512;8292
5107;5100;PUY-SAINT-ANDRE;HAUTES-ALPES;44.8909036618; 6.56677781045;35902
84002;84240;ANSOUIS;VAUCLUSE;43.7365172868; 5.47136689464;15816
5084;5230;MONTGARDIN;HAUTES-ALPES;44.543584781; 6.23305665739;17318
4055;4330;CHAUDON-NORANTE;ALPES-DE-HAUTE-PROVENCE;43.9919149482; 6.31736807144;31255
5120;5460;RISTOLAS;HAUTES-ALPES;44.7358493135; 6.99202108042;2734
4136;4170;LA MURE-ARGENS;ALPES-DE-HAUTE-PROVENCE;44.0166107784; 6.53196701824;13187
4182;4270;SAINT-JULIEN-D'ASSE;ALPES-DE-HAUTE-PROVENCE;43.9266153853; 6.07806454992;2530
5088;5150;MONTMORIN;HAUTES-ALPES;44.4501067794; 5.55351371982;14018
83111;83136;SAINTE-ANASTASIE-SUR-ISSOLE;VAR;43.3334103841; 6.12496118501;29373
5019;5140;LA BEAUME;HAUTES-ALPES;44.5482914658; 5.65375214301;14160
13103;13300;SALON-DE-PROVENCE;BOUCHES-DU-RHONE;43.6462885238; 5.06814649576;1767
5108;5200;PUY-SAINT-EUSEBE;HAUTES-ALPES;44.5685889454; 6.41129829522;26311
83140;83170;TOURVES;VAR;43.4088015642; 5.92715707141;10032
5059;5000;LA FREISSINOUSE;HAUTES-ALPES;44.535534165; 6.00812804583;23850
4016;4200;AUTHON;ALPES-DE-HAUTE-PROVENCE;44.2492545518; 6.15102271049;5770
5067;5500;LES INFOURNAS;HAUTES-ALPES;44.7149452771; 6.11308861392;19949
6114;6730;SAINT-ANDRE-DE-LA-ROCHE;ALPES-MARITIMES;43.745876244; 7.28871372647;23028
13052;13910;MAILLANE;BOUCHES-DU-RHONE;43.8230609796; 4.78456570653;14718
13210;13010;MARSEILLE-10E--ARRONDISSEMENT;BOUCHES-DU-RHONE;43.2755155435; 5.42681101081;36598
5127;5190;ROUSSET;HAUTES-ALPES;44.4843785512; 6.2666913091;17401
84126;84110;SEGURET;VAUCLUSE;44.2159640237; 5.02881720149;7444
84101;84210;LA ROQUE-SUR-PERNES;VAUCLUSE;43.9741947109; 5.10175518845;4768
6162;6430;LA BRIGUE;ALPES-MARITIMES;44.0714555606; 7.65147828925;5803
84050;84220;GORDES;VAUCLUSE;43.909019241; 5.19801978618;2390
5131;5400;SAINT-AUBAN-D'OZE;HAUTES-ALPES;44.4883156877; 5.84847801019;16401
83128;83690;SILLANS-LA-CASCADE;VAR;43.5658824056; 6.16515240575;22997
4042;4320;CASTELLET-LES-SAUSSES;ALPES-DE-HAUTE-PROVENCE;44.0403038573; 6.73450900533;5736
4208;4150;SIMIANE-LA-ROTONDE;ALPES-DE-HAUTE-PROVENCE;43.9838128235; 5.56248994589;8888
84071;84660;MAUBEC;VAUCLUSE;43.8417800592; 5.13767903423;14593
4023;4250;BAYONS;ALPES-DE-HAUTE-PROVENCE;44.3249277264; 6.17282537759;14259
13087;13790;ROUSSET;BOUCHES-DU-RHONE;43.4841496165; 5.62380799416;13260
13073;13124;PEYPIN;BOUCHES-DU-RHONE;43.3847877457; 5.57131918284;20255
83026;83340;CABASSE;VAR;43.4270972655; 6.23202349485;3950
5167;5700;SIGOTTIER;HAUTES-ALPES;44.458049604; 5.68531113946;5954
84060;84400;LAGARDE-D'APT;VAUCLUSE;43.9838729786; 5.48164417071;34027
5165;5700;SAVOURNON;HAUTES-ALPES;44.4240775993; 5.79927741464;3486
13066;13550;NOVES;BOUCHES-DU-RHONE;43.8584523466; 4.89952194493;19822
6106;6910;ROQUESTERON;ALPES-MARITIMES;43.8677906196; 7.02413611655;19743
13004;13200;ARLES;BOUCHES-DU-RHONE;43.5468692378; 4.66215642574;11588
4217;4380;THOARD;ALPES-DE-HAUTE-PROVENCE;44.1473006003; 6.12401298333;8874
4140;4200;LES OMERGUES;ALPES-DE-HAUTE-PROVENCE;44.1527454808; 5.5893705894;5641
6035;6500;CASTELLAR;ALPES-MARITIMES;43.8220566609; 7.49891571145;31011
13003;13980;ALLEINS;BOUCHES-DU-RHONE;43.7074197745; 5.15105029207;18052
83123;83110;SANARY-SUR-MER;VAR;43.138282853; 5.79588814177;1498
6163;6430;TENDE;ALPES-MARITIMES;44.0997669286; 7.54053179417;21777
84037;84230;CHATEAUNEUF-DU-PAPE;VAUCLUSE;44.0595884031; 4.82728435607;28873
6078;6710;MALAUSSENE;ALPES-MARITIMES;43.9153232562; 7.14112063451;1042
83005;83630;ARTIGNOSC-SUR-VERDON;VAR;43.6940767712; 6.10762159358;34338
4077;4700;ENTREVENNES;ALPES-DE-HAUTE-PROVENCE;43.9378972717; 6.03380903148;8070
5168;5130;SIGOYER;HAUTES-ALPES;44.4802333692; 5.96951792615;8277
5143;5300;SAINT-GENIS;HAUTES-ALPES;44.3808485026; 5.79631196854;11118
83104;83560;RIANS;VAR;43.6055023788; 5.74132523759;13041
83063;83680;LA GARDE-FREINET;VAR;43.3234160321; 6.46693786821;8149
13089;13670;SAINT-ANDIOL;BOUCHES-DU-RHONE;43.8307575371; 4.95027358923;31014
5149;5260;SAINT-LEGER-LES-MELEZES;HAUTES-ALPES;44.6468761009; 6.21171867053;15319
83127;83870;SIGNES;VAR;43.2776407451; 5.8571396222;2395
